日期,大肉情绪,每日交易量,上涨比率,连板数,最高板,大面数,其他,压力高度,跌停数量,涨停数量,封板率,涨停打开,情绪值,备注,备注2
2026年2月2日,45.0,2.58,14.11,10.0,3,73.0,皇台酒业-横店影视-万丰股份,3,98.0,36.0,67.0,18.0,-49.5,瑰-持-四川黄金-没跑出来,我-空仓
2026年1月30日,73.0,2.84,44.91,7.0,3,58.0,百川股份,8,52.0,48.0,70.0,21.0,-63.1,玫瑰-持-四川黄金-没跑出来-美国黄金暴跌,我-S-翔鹭钨业-大面
2026年1月29日,118.0,3.23,32.99,19.0,8,19.0,白银有色,8,12.0,82.0,71.0,34.0,34.9,玫瑰-持-四川黄金-S--拓日新能,我-关注-翔鹭钨业-小面
2026年1月28日,106.0,2.97,31.83,10.0,7,15.0,白银有色,7,5.0,80.0,75.0,26.0,14.3,玫瑰-关注-四川黄金-拓日新能-节点已来,我-关注-拓日新能
2026年1月27日,81.0,2.89,35.29,14.0,6,4.0,白银有色,6,2.0,53.0,75.0,18.0,44.3,玫瑰-空仓,我-空仓
2026年1月26日,81.0,3.25,29.36,15.0,5,52.0,白银有色,5,30.0,70.0,64.0,39.0,-20.0,玫瑰-空仓	,我-空仓	
2026年1月23日,132.0,3.09,72.07,12.0,5,5.0,江化微,5,0.0,102.0,85.0,18.0,50.0,玫瑰-空仓,我-空仓	
2026年1月22日,90.0,2.69,65.44,17.0,4,9.0,江化微,4,2.0,72.0,73.0,26.0,19.0,玫瑰-空仓,我-空仓	
2026年1月21日,99.0,2.6,56.65,8.0,4,8.0,广电电气,4,4.0,78.0,76.0,25.0,20.7,玫瑰-持-易点天下-减仓,我-空仓	
2026年1月20日,67.0,2.78,40.85,13.0,3,22.0,森源电气-汉缆股份-广电电气,4,16.0,53.0,78.0,15.0,-23.9,玫瑰-持-易点天下-跌停没出来,我-空仓	
2026年1月19日,104.0,2.71,64.59,11.0,4,27.0,新华百货,5,23.0,87.0,81.0,20.0,-26.3,玫瑰-持-易点天下进小黑屋	,我-空仓
2026年1月16日,70.0,3.03,43.42,6.0,5,77.0,博菲电气,5,46.0,58.0,60.0,39.0,-24.0,玫瑰-持-易点天下进小黑屋	,我-巨力索具跌停没机会出）	
2026年1月15日,70.0,2.91,40.86,16.0,4,91.0,博菲电气,5,63.0,55.0,75.0,18.0,-27.0,玫瑰-持-易点天下进小黑屋-证监会提高准备金为100%,我--S-直真科技（巨力索具跌停没机会出）
2026年1月14日,147.0,3.94,50.36,19.0,5,24.0,直真科技,13,14.0,99.0,63.0,59.0,-3.9,玫瑰-持-易点天下,我-B-直真科技-巨力索具-S-易点天下
2026年1月13日,101.0,3.65,29.74,30.0,13,137.0,锋龙股份,13,49.0,65.0,52.0,59.0,25.3,玫瑰-持-易点天下,我-S-神剑股份-雷科防务-B-易点天下
2026年1月12日,243.0,3.6,75.9,45.0,12,8.0,锋龙股份,12,3.0,178.0,79.0,47.0,76.0,玫瑰-B-大长腿-易点天下,我-持-神剑股份-雷科防务
